character,position,kill,death,assist,win,time
Wang Zhaojun ,Mid,4,8,11,0,10-23/23:11
Zhuang Zhou,Sup,2,3,2,0,10-23/23:00
Zhang Fei,Sup,3,5,17,1,10-23/22:42
Mi laidi,Mid,3,1,18,1,10-23/22:26
Wang Zhaojun ,Mid,2,1,3,1,10-23/22:07
Yao,Sup,1,4,8,0,10-23/21:48
Zhen Ji,Mid,4,8,10,0,10-23/21:27
Mi laidi,Mid,3,2,11,1,10-23/21:12
Zhang Fei,Sup,0,7,8,0,10-22/23:50
Lian Po,Top,3,2,4,1,10-22/23:33
Zhang Fei,Sup,4,1,14,1,10-22/22;31
Cai Wenji,Sup,1,5,10,1,10-22/22:15
Mi laidi,Mid,9,0,10,1,10-22/22:01
Mi laidi,Mid,0,2,12,0,10-22/21:31
Mi laidi,Mid,3,4,12,1,10-22/21:14
Lian Po,Top,0,0,4,1,10-22/21:01
Wang Zhaojun ,Mid,1,4,15,0,10-22/20:34
Ying Zheng,Mid,2,6,9,0,10-18/22:00
Meng Ya,Bot,0,5,1,0,10-18/21:49
Lian Po,Top,0,0,7,1,10-18/21:30
Wang Zhaojun ,Mid,0,1,9,1,10-18/21:11
Min Yue,Top,1,2,5,1,10-17/17:50
Lian Po,Top,3,3,7,1,10-17/17:33
Ying Zheng,Mid,2,5,6,0,10-17/17:13
Mo Zi,Top,0,4,7,0,10-17/12:48
Zhang Fei,Sup,0,2,12,1,10-17/11:27
Zhou Yu,Mid,3,0,7,1,10-17/11:10
Lian Po,Sup,0,3,10,1,10-17/10:55
Mo Zi,Top,2,4,4,0,10-17/10:37
Wang Zhaojun ,Mid,5,4,3,1,10-16/21:06
Zhang Fei,Sup,1,4,13,0,10-16/12:37
Wang Zhaojun ,Mid,5,4,3,0,10-16/12;16
Wang Zhaojun ,Mid,8,2,10,1,10-16/12:00
Kuang Tie,Top,2,10,4,0,10-16/11:46
Wang Zhaojun ,Mid,2,4,3,0,10-14/02:45
Zhang Fei,Sup,3,1,18,1,10-14/02:28
Kuang Tie,Top,2,10,4,0,10-14/02:09
Lian Po,Sup,2,4,16,1,10-14/01;49
Ming Shiyin,Sup,0,6,4,0,10-12/17:44
Lian Po,Top,2,7,6,0,10-12/17:24
Wang Zhaojun ,Mid,3,8,15,0,10-12/17:01
Zhuang Zhou,Sup,0,2,9,0,10-11/02:34
Wang Zhaojun ,Mid,3,6,16,1,10-11/02:12
Zhen Ji,Mid,7,6,14,1,10-11/01:50
Wang Zhaojun ,Mid,5,7,14,0,10-11/01:22
Mo Zi,Top,4,6,11,0,10-11/00:33
Wang Zhaojun ,Mid,8,3,16,1,10-11/00:15
Lian Po,Sup,2,8,16,0,10-10/23:46
Kuang Tie,Top,6,5,5,1,10-08/23:10
Ying Zheng,Mid,2,6,13,0,10-08/22:47
Zhang Fei,Sup,1,5,1,0,10-08/22:31
Wang Zhaojun ,Mid,2,4,11,1,10-08/22:13
Zhang Fei,Sup,1,6,4,0,10-08/21:57
Yao,Sup,2,2,20,1,10-08/21:41
Wang Zhaojun ,Mid,6,2,5,1,10-08/21:23
Ying Zheng,Mid,3,4,5,0,10-08/18:51
Wang Zhaojun ,Mid,6,4,13,1,10-08/18:33
Zhou Yu,Mid,4,5,10,1,10-08/18:13
Wang Zhaojun ,Mid,0,2,9,1,10-08/17:59
Mo Zi,Sup,4,4,18,1,10-08/17:42
Wang Zhaojun ,Mid,4,3,17,1,10-08/17:27
Mo Zi,Top,1,1,9,1,10-08/14;19
Lian Po,Sup,0,0,3,1,10-08/14:09
Wang Zhaojun ,Mid,8,4,10,1,10-07/15:27
Lian Po,Top,2,8,4,1,10-07/15:06
Min Yue,Top,3,1,5,1,10-07/00:21
Lian Po,Top,4,1,4,1,10-07/00:04
Lian Po,Top,2,5,4,0,10-06/23:43
Lv Bu,Top,2,6,4,0,10-06/01:28
Zhuang Zhou,Sup,3,3,24,1,10-06/01:11
Wang Zhaojun ,Mid,3,0,7,1,10-06/00:58
Cai Wenji,Sup,0,6,18,0,10-06/00:35
Zhen Ji,Mid,2,9,13,0,10-05/02:04
Wang Zhaojun ,Mid,6,3,15,1,10-05/01:43
Lian Po,Top,4,4,6,0,10-05/01:23
Ying Zheng,Mid,4,2,8,0,10-05/00:51
Zhang Fei,Sup,3,5,9,1,10-05/00:25
Wang Zhaojun ,Mid,2,3,12,1,10-05/00:07
Lv Bu,Top,0,7,7,0,10-04/23:44
Ying Zheng,Mid,3,1,7,1,10-04/23:26
Wang Zhaojun ,Mid,6,2,15,1,10-04/23:06
